,file,y,x,ulx,uly,lrx,lry
1618,131-64.tif,131,64,437526.9950410226,435262.27835056477,440027.13325819717,432762.1401316394
1619,131-65.tif,131,65,437526.9950410226,437762.4165694902,440027.13325819717,435262.27835056477
1620,131-66.tif,131,66,437527.1655110925,440262.5667274074,440027.31544495205,437762.41679279756
1621,131-67.tif,131,67,437527.2594485285,442762.7198230311,440027.4158212125,440262.5634513475
1622,131-68.tif,131,68,437527.3591909538,445262.87937141757,440027.5223886168,442762.71617500525
1623,131-69.tif,131,69,437527.3591909538,447762.0429024176,440027.5223886168,445262.87937141757
1624,131-7.tif,131,7,437527.31080092624,292762.04971583036,440026.77821817616,290262.58229983033
1625,131-70.tif,131,70,437527.57610104245,450262.2197051411,440026.7544370424,447762.0416970564
1626,131-71.tif,131,71,437527.6932738675,452762.40093416383,440026.8795923675,450262.21493963577
1627,131-72.tif,131,72,437526.81658412545,455262.5901661689,440027.01095075096,452762.3957977927
1628,131-73.tif,131,73,437526.81658412545,457762.7845345452,440027.01095075096,455262.5901661689
1629,131-74.tif,131,74,437527.0800095344,460262.99419114256,440027.29228732147,457762.78191285534
1630,131-75.tif,131,75,437527.2204553663,462762.2100707408,440027.4422707169,460262.9879442408
1631,131-76.tif,131,76,437527.3667267673,465262.4351901336,440027.5984675865,462762.2034493144
1632,131-77.tif,131,77,437527.3667267673,467762.6669309528,440027.5984675865,465262.4351901336
1633,131-78.tif,131,78,437527.6767567722,470262.9156463227,440026.9298105222,467762.66288759967
1634,131-79.tif,131,79,437527.6767567722,472677.1940998677,440026.9298105222,470262.9156463227
1635,131-8.tif,131,8,437527.31080092624,292779.0460942593,440026.77821817616,292762.0497158305
1636,131-9.tif,131,9,437526.7737023266,297762.59674462327,438518.5470962945,296815.8130708637
1637,132-13.tif,132,13,440393.00104567286,307762.67712922394,442527.44969644095,306393.0309219969
1638,132-14.tif,132,14,440393.00104567286,309945.1133849732,442527.44969644095,307762.6771292239
1639,132-30.tif,132,30,440027.6860983729,350262.3418155585,442526.8547161229,350218.3564478861
1640,132-31.tif,132,31,440027.5712257668,352762.5067921381,442526.7324672668,350262.345887392
1641,132-32.tif,132,32,440027.46245426603,355262.66439068195,442527.61636046384,352762.5104842341
1642,132-33.tif,132,33,440027.46245426603,357762.81829712976,442527.61636046384,355262.6643906819
1643,132-34.tif,132,34,440027.2632245238,360262.9589843893,442527.4042775824,357762.8179330813
1644,132-35.tif,132,35,440027.1727711677,362762.0970864243,442527.30796863494,360262.9615439243
1645,132-36.tif,132,36,440027.0884287997,365262.2289939203,442527.2181523283,362762.09927014157
1646,132-37.tif,132,37,440027.0884287997,367762.358717699,442527.2181523283,365262.2289939203
1647,132-38.tif,132,38,440026.93808698154,370262.47678462963,442486.0724365976,367762.35686252
1648,132-39.tif,132,39,440026.8720924965,372762.59343042364,442486.0021843445,370262.4778350441
1649,132-40.tif,132,40,440026.8720924965,375210.72741406405,442486.0021843445,372762.59343042364
1650,132-48.tif,132,48,440027.47049324104,395262.6865930632,442527.5663357226,393703.2505606752
1651,132-49.tif,132,49,440027.36212654493,397762.14796568424,442527.43665575463,395262.0734372248
1652,132-50.tif,132,50,440027.36212654493,400262.2224941436,442527.43665575463,397762.14796568424
1653,132-51.tif,132,51,440027.36212654493,402762.297022603,442527.43665575463,400262.2224941436
1654,132-52.tif,132,52,440027.36212654493,405262.37155106245,442527.43665575463,402762.297022603
1655,132-53.tif,132,53,440027.36212654493,407762.4460795218,442527.43665575463,405262.37155106245
1656,132-54.tif,132,54,440027.36212654493,410262.5206079812,442527.43665575463,407762.4460795218
1657,132-55.tif,132,55,440027.36212654493,412762.5951365669,442527.43665575463,410262.5206081075
1658,132-56.tif,132,56,440027.36212654493,415262.6696650263,442527.43665575463,412762.5951365669
1659,132-57.tif,132,57,440027.36212654493,417762.7441934857,442527.43665575463,415262.6696650263
1660,132-58.tif,132,58,440027.36212654493,420262.8187219451,442527.43665575463,417762.7441934857
1661,132-59.tif,132,59,440027.36212654493,422762.8932504045,442527.43665575463,420262.8187219451
1662,132-6.tif,132,6,440026.77821817633,290262.5822998304,441683.4252223296,289626.7177892
1663,132-60.tif,132,60,440027.36212654493,425262.9677788639,442527.43665575463,422762.8932504045
1664,132-61.tif,132,61,440027.36212654493,427762.0426773639,442527.43665575463,425262.9677788639
1665,132-62.tif,132,62,440026.97338881117,430262.9407873731,442527.0952589497,427762.81891448353
1666,132-63.tif,132,63,440027.048830935,432762.0663033962,442527.17559027846,430262.9391911462
1667,132-64.tif,132,64,440027.1304539371,435262.19637420814,442527.26249039045,432762.0643365042
1668,132-65.tif,132,65,440027.1304539371,437762.32841191214,442527.26249039045,435262.1963742082
1669,132-66.tif,132,66,440027.3122532723,440262.47277229547,442527.45600115845,437762.3290241593
1670,132-67.tif,132,67,440027.4124350553,442762.6198746992,442527.56261901493,440262.4696922402
1671,132-68.tif,132,68,440027.5188085401,445262.7734277022,442527.67581522756,442762.6164237658
1672,132-69.tif,132,69,440027.5188085401,447762.9304316385,442527.67581522756,445262.77342770214
1673,132-7.tif,132,7,440026.77821817633,292762.04971583036,442527.24542239326,290262.58229983033
1674,132-70.tif,132,70,440026.7504726796,450262.1017646552,442526.92228403664,447762.9296239052
1675,132-71.tif,132,71,440026.8754344996,452762.2769890768,442527.0552285484,450262.097195028
1676,132-72.tif,132,72,440027.0065988471,455262.46021330904,442527.19476249226,452762.27204691275
1677,132-73.tif,132,73,440027.0065988471,457762.6483797055,442527.19476249226,455262.46021330904
1678,132-74.tif,132,74,440027.2875462967,460262.8522177977,442527.49361635174,457762.64614774275
1679,132-75.tif,132,75,440027.43733492185,462762.06208521896,442527.6529397893,460262.84616721905
1680,132-76.tif,132,76,440027.5933371849,465262.281186746,442526.8191734349,462762.05565916107
1681,132-77.tif,132,77,440027.5933371849,467762.5067143309,442526.8191734349,465262.281186746
1682,132-78.tif,132,78,440026.92429520364,470262.7496021632,442527.1708329393,467762.5030644276
1683,132-79.tif,132,79,440026.92429520364,472677.0220486372,442527.1708329393,470262.7496021632
1684,132-8.tif,132,8,440026.77821817633,293547.8822714208,442527.24542239326,292762.04971583036
1685,133-10.tif,133,10,442700.3241895504,300262.5489968327,443807.0580867871,299615.70452424546
1686,133-11.tif,133,11,442700.3241895504,300635.4593341975,443807.0580867871,300262.5489968327
1687,133-13.tif,133,13,442527.44969644095,307762.67712922394,443933.0866065017,306393.0309219969
1688,133-14.tif,133,14,442527.44969644095,309945.1133849732,443933.0866065017,307762.6771292239
1689,133-30.tif,133,30,442526.8508548967,350262.47704312624,444986.02640680666,350218.49178935663
1690,133-31.tif,133,31,442526.72879606154,352762.63535380666,444985.89708629757,350262.48092515
1691,133-32.tif,133,32,442527.6128783528,355262.78628499893,444985.7746224658,352762.63885764155
1692,133-33.tif,133,33,442527.6128783528,357762.93371235626,445026.76064585283,355262.78628499893
1693,133-34.tif,133,34,442527.4011760841,360262.06788049906,445027.5357432995,357762.93296674907
1694,133-35.tif,133,35,442527.30505865096,362762.1989634175,445027.4337677739,360262.07025304396
1695,133-36.tif,133,36,442527.2154338631,365262.32419252064,445027.33866654633,362762.20095783647
1696,133-37.tif,133,37,442527.2154338631,367713.46460493375,444985.35339034774,365262.32419252046
1697,133-48.tif,133,48,442527.5663363123,395262.6865930632,445027.6621787938,393703.2505606752
